product_id,product_name,category,subcategory,brand,unit_of_measure,is_perishable,margin_tier,listed_price
PRD0001,Bananas (1 dozen),Fruits & Vegetables,Fresh Fruits,FarmFresh,dozen,1,Low,41.79
PRD0002,Royal Gala Apples (1 kg),Fruits & Vegetables,Fresh Fruits,FarmFresh,kg,1,Low,121.5
PRD0003,Pomegranate (500g),Fruits & Vegetables,Fresh Fruits,OrganicNest,500g,1,Medium,100.28
PRD0004,Mangoes Alphonso (1 kg),Fruits & Vegetables,Fresh Fruits,FarmFresh,kg,1,Medium,217.95
PRD0005,Strawberries (200g),Fruits & Vegetables,Fresh Fruits,OrganicNest,200g,1,Medium,116.56
PRD0006,Tomatoes (1 kg),Fruits & Vegetables,Fresh Vegetables,FarmFresh,kg,1,Low,52.07
PRD0007,Onions (1 kg),Fruits & Vegetables,Fresh Vegetables,FarmFresh,kg,1,Low,51.23
PRD0008,Spinach (250g),Fruits & Vegetables,Fresh Vegetables,FarmFresh,250g,1,Low,19.48
PRD0009,Baby Carrots (500g),Fruits & Vegetables,Fresh Vegetables,OrganicNest,500g,1,Medium,69.77
PRD0010,Potato (2 kg),Fruits & Vegetables,Fresh Vegetables,FarmFresh,2kg,1,Low,41.19
PRD0011,Capsicum Mix (500g),Fruits & Vegetables,Fresh Vegetables,FarmFresh,500g,1,Low,53.75
PRD0012,Broccoli (500g),Fruits & Vegetables,Fresh Vegetables,OrganicNest,500g,1,Medium,114.77
PRD0013,Coriander Bunch,Fruits & Vegetables,Herbs & Sprouts,OrganicNest,bunch,1,Low,10.27
PRD0014,Mint Leaves (100g),Fruits & Vegetables,Herbs & Sprouts,FarmFresh,100g,1,Low,14.58
PRD0015,Amul Taaza Milk (1L Tetrapack),Dairy & Eggs,Milk,Amul,1L,1,Medium,72.55
PRD0016,Mother Dairy Full Cream (500ml),Dairy & Eggs,Milk,Mother Dairy,500ml,1,Medium,35.27
PRD0017,Nandini Toned Milk (1L),Dairy & Eggs,Milk,Nandini,1L,1,Medium,55.32
PRD0018,Amul Masti Dahi (400g),Dairy & Eggs,Curd & Yoghurt,Amul,400g,1,High,49.12
PRD0019,Epigamia Greek Yoghurt (90g),Dairy & Eggs,Curd & Yoghurt,Epigamia,90g,1,High,53.09
PRD0020,Mother Dairy Mishti Doi (400ml),Dairy & Eggs,Curd & Yoghurt,Mother Dairy,400ml,1,High,38.06
PRD0021,Amul Fresh Paneer (200g),Dairy & Eggs,Paneer & Cheese,Amul,200g,1,High,105.15
PRD0022,Britannia Processed Cheese Slices,Dairy & Eggs,Paneer & Cheese,Britannia,pack,0,High,107.45
PRD0023,Amul Butter (100g),Dairy & Eggs,Butter & Ghee,Amul,100g,0,High,58.4
PRD0024,Milkmaid Condensed Milk (400g),Dairy & Eggs,Butter & Ghee,Nestlé,400g,0,High,133.11
PRD0025,Farm Fresh Eggs (6 pc),Dairy & Eggs,Eggs,Country Delight,6 pack,1,Medium,74.14
PRD0026,Farm Fresh Eggs (12 pc),Dairy & Eggs,Eggs,Country Delight,12 pack,1,Medium,111.12
PRD0027,India Gate Basmati Rice (5 kg),Staples & Grains,Rice,India Gate,5kg,0,Medium,463.91
PRD0028,Dawat Rozana Basmati (1 kg),Staples & Grains,Rice,Dawat,1kg,0,Medium,98.39
